gene,lfc,p,nlp
PSMA5,0.3632951529990657,0.6628522988710438,0.1785832331811087
PSMA6,-0.5662163578304511,0.5075449035066824,0.294525528818723
PSMA7,-0.13771020219620334,0.855092382563409,0.06798696238279431
PSMB1,0.9311074407780463,0.061740040051935514,1.209433093118761
PSMB2,0.1478814776883945,0.7587402221467026,0.11990689261532698
PSMB6,0.7233115757855682,0.31364385677798906,0.5035632144029055
PSMB7,-0.2749246411253652,0.3638443740199977,0.43908433601244934
PSMB9,0.40336563161854216,0.6829180978364806,0.16563137800297162
PSMC2,-0.7502063970924909,0.19568793821701663,0.7084359424933993
PSMC5,0.6483499917680975,0.024484989338024843,1.6111000807590155
PSMD2,0.5182880825178175,0.42315792515004375,0.37349752099076844
PSMD3,0.5333178960988252,0.3269133488260888,0.4855673455464347
PSMD4,-0.6245882937340553,0.2338971405647911,0.630975087487655
PSMD7,-0.07413405809997711,0.9263448919444528,0.03322728893216863
PSMD8,0.3895621552962131,0.23728138297672471,0.6247363350555373
PSMD10,0.5307579038161951,0.5067185206488759,0.29523322188139883
PSME2,-0.027685946137398432,0.9595411263648453,0.017936406472497828
TWF1,0.10929484699814358,0.837940566434014,0.07678678397725662
PTMA,-0.33188475220711505,0.2760911185694407,0.5589475637277128
PTMS,-0.26951501293848273,0.6619793754663907,0.17915554116554216
PTN,-0.5873099597657274,0.4730016168455361,0.32513737472541404
PTPN1,1.0933249565070806,0.162838994622597,0.7882415876436959
PTPN2,0.4333639352369417,0.6063357756048178,0.2172868063495936
PTPN4,0.8371988062582002,0.011519474209827907,1.9385673432202377
PTPN6,-0.5619898799506335,0.2227536682487443,0.6521751353850475
PTPN11,-0.7428402708833849,0.04135803849831274,1.3834400668570455
PTPN12,-0.25217849726384395,0.5645483221176122,0.24829887901648895
PTPRA,0.7274562220726585,0.27457410512615843,0.5613404231484377
PTPRD,-0.37894855688706747,0.48968061780562033,0.31008708558082915
PTPRF,-0.22844066869772583,0.5315483958831301,0.2744571881338258
PTPRG,-0.05394198438645714,0.882428054969867,0.05432069285603813
PTPRH,-0.6432709611579716,0.3633616774358331,0.4396608782271457
PTPRM,-0.17602556312606615,0.8339074955073811,0.0788821225263547
PTPRS,0.09711356480412366,0.7505678119489582,0.12461006421376061
PTPRZ1,0.06643928779642379,0.9348265959119338,0.029268940381771944
PTX3,-0.1132112295480727,0.5878765014200605,0.2307138990685481
PVALB,-0.16698513983076682,0.815034752444944,0.08882387288788256
PYGB,-0.2622437206139819,0.18588447292299326,0.730756885674545
PYGL,0.08886513404742724,0.7897007397092363,0.10253745518500065
PZP,0.10949755906049867,0.7137330796832135,0.14646417435003978
RAB2A,0.303268423974408,0.06533480226625722,1.184855418940357
RAB3A,0.14070676025342327,0.7933786387508637,0.100519496825714
RAB3B,-0.6832383716549126,0.24475696419611465,0.6112649421441746
RAB5B,0.23395944088732118,0.6440068052187953,0.1911095434269027
RAB6A,0.5391740209235005,0.5138126746600987,0.289195186821234
RAB13,0.3985906148978134,0.36712473269017637,0.43518635668629996
RABIF,0.21017159596556018,0.6610888409960791,0.17974017355258592
RAC2,0.6213071278430693,0.394545865816696,0.40390250294061897
RAD23B,-0.0041702590356106125,0.990113763481409,0.004314902358308289
RAD51C,0.04633358516199073,0.91902500900874,0.03667267019526976
RAD51B,-0.004897034425649371,0.9920538332443238,0.0034647604601317147
RAD51D,-0.0011002494057471778,0.9989056539238531,0.0004755287061333827
RAF1,0.2459151892000965,0.5490149806788377,0.2604158050264284
RALB,-0.21150249173104152,0.6572512072084726,0.18226860752894591
RANBP1,-1.3551564926640247,0.12733975054918698,0.8950360052277739
RANGAP1,0.4415755405424983,0.3604143406060955,0.44319793710976646
RAP1GAP,0.5263397230747304,0.2924000241188268,0.5340225958910823
RARS1,0.35537045951073365,0.3828572311213452,0.41696314586287053
RARRES2,-1.1060020354507851,0.01956011936876167,1.7086284991886873
RASA1,0.6265001026802526,0.1556065083835994,0.8079722422051288
RBBP7,0.08322041373976315,0.8374787396908971,0.07702620918917541
RBBP8,0.36701366681246833,0.3982862273741294,0.39980471111222077
RBP1,-0.4680947607737849,0.5294332741711059,0.2761887673512831
RCN1,-1.16173788497332,0.07677457379807327,1.1147825857954596
RCN2,0.10444499522902465,0.4076383729367025,0.38972494053839185
RCVRN,-0.08608325584713757,0.815992594263337,0.08831378277207283
NELFE,1.0420655820353457,0.1617979805311976,0.7910269033024276
RDH5,-0.15744647249129257,0.8118369638074021,0.09053117867515106
REG1A,-0.3748357829212964,0.2654450529798421,0.5760253640639297
RENBP,-0.1680098333841084,0.8592131406540215,0.06589908957062568
UPF1,-0.07158349586407198,0.8135822282556965,0.08959854663248655
REV3L,0.11149142762907278,0.8371056050079254,0.07721975015594279
RFC3,0.18289094018223012,0.6744269482250503,0.17106508483702942
RFNG,0.30460580371371415,0.6207698485754993,0.20706938536340855
RGR,-0.7939307304053208,0.23746147142741986,0.6244068454237615
RGS1,0.9663157675474967,0.15452794723327692,0.8109929645784415
RGS7,-1.3035059992242777,0.05374913384446507,1.2696285299165466
RGS13,-0.40298937352993686,0.05130429731574868,1.2898462562848199
RGS16,0.36931958055571484,0.4811443921672221,0.3177245716282022
GRK1,-0.8716373073044899,0.1148597275883611,0.9398322180654032
RIT2,-0.3021479727410451,0.715630017054805,0.14531145126864053
RING1,-0.4660003221158474,0.6098162714283017,0.21480099174950643
RNASE1,0.3053863868050268,0.7125602015746237,0.1471784378356995
RNASE3,0.5742348755122063,0.028388101443849557,1.5468636515048186
RNASEH1,0.6426329523610093,0.24766532717177858,0.6061347898291205
RNF4,0.15983785592569014,0.6863021515684362,0.16348463958691192
ROBO1,-0.04072672419143926,0.9587137476863575,0.018311044922950735
ROS1,-0.054795962186779665,0.937351831235058,0.028097367827020953
RPA1,-0.3097574972549067,0.5485739042873228,0.2607648556698307
RPA2,0.07266898986333695,0.8442346512274143,0.07353682639623205
MRPL12,0.08555179682809681,0.8708754292857579,0.06004396237798303
RPN1,-1.190777761181988,0.08490847294471504,1.0710489697144763
RPS2,0.2576186254360717,0.5201178710167011,0.2838982238052474
RPS6KA1,0.4994054994125575,0.5459918702504388,0.26281382383676355
RPS27A,0.19428155685692908,0.7196968356236738,0.14285040682230038
CLIP1,-0.0993766257594821,0.9196262159940345,0.036388656694557965
RXRA,-0.1786072373290084,0.7505965062423079,0.12459346140337615
RYK,-0.24310890773108454,0.6767806731707403,0.16955205194176654
S100A3,-0.015539240339264682,0.9705789828857598,0.012969117219749285
S100A4,0.3315962517978731,0.49895458550707655,0.3019389817538578
S100A7,-0.4559439118753514,0.3284264082976286,0.48356192915058055
S100A9,1.3820145681534775,0.2019066884252317,0.6948492942408161
S100A10,0.7266551714425493,0.13108465745790196,0.8824481364662522
SALL1,0.12212860620021301,0.7456683213532094,0.1274543068942387
MAPK12,-0.4177906232955726,0.4137319448664216,0.3832809452790052
SAT1,0.7958678567560913,0.3754084625996958,0.42549594157368803
ATXN2,0.42338332043611226,0.42088405995601275,0.37583752187429575
CLEC11A,0.5705779136102914,0.21826044767682148,0.6610249583449891
SCN9A,0.059489403448344635,0.9252171437620242,0.03375632859027919
SCNN1D,-0.007435823009434373,0.9906020946082124,0.004100758045641647
CCL2,0.5141626458302434,0.6081160815639381,0.21601351156491386
CCL11,0.26739808720080577,0.39942424340101007,0.39856557878492516
CCL21,0.5157281082537117,0.4577944458662337,0.3393294806529107
CCL24,-0.5952443040510735,0.2593211623437722,0.5861620404458304
CXCL5,-0.10749573638242235,0.8743168639765745,0.058331144782903376
XCL1,-0.3296648596791637,0.6068024347734093,0.21695268529049014
CX3CL1,-0.5106884005277522,0.25205490767696165,0.5985048421406348
SDC1,0.1384482207799972,0.7836909270183923,0.10585518113644915
SDC4,0.8934194891030586,0.24738615588237736,0.606624607827834
SDHB,-0.19915363030026922,0.7910475826451938,0.10179739228144039
SDHD,-0.52362153103476,0.12589356257895856,0.8999964764680956
SECTM1,0.7828921111961795,0.08911931522609239,1.0500281591841703
SELP,-0.10810949170738496,0.8970656287010337,0.04717578310965597
SEMG2,0.5222869424164693,0.1990774261431759,0.700977982851874
SELENOW,-0.37696343124914905,0.46336375979294375,0.3340779358835724
MAP2K4,-0.5145606883604323,0.6050003328691049,0.21824438640013327
SFRP1,-0.7484269605806053,0.10304160507130637,0.9869873849592024
SFRP2,0.4888274917441172,0.07783057851957709,1.1088497414010783
SFRP4,0.28977038459864,0.6634445963911422,0.17819533879238955
SFRP5,0.36999678915757894,0.5486306756989965,0.26071991325655336
SRSF2,0.7696703636154716,0.394261812901156,0.4042152854412164
SFTPD,0.0330898248391915,0.9704061493756428,0.013046460048071426
SGTA,0.5491845646646941,0.47012654252962494,0.32778522860595977
SH3BGRL,0.2942987436342478,0.5812027455150398,0.23567234282684557
SH3BP2,0.7235690216021723,0.16821181843833766,0.7741434942560538
ITSN1,0.5603816645707677,0.5193969283538636,0.28450062306041635
SH3GL2,1.0286258188556117,0.007505281178930957,2.12463303264514
SHOX2,0.08790176273931846,0.7703821001099983,0.11329381663347832
SIAH1,-0.7537406900599043,0.1054538530463944,0.9769375474919022
ST6GAL1,0.48174336620891794,0.3956272158516344,0.4027138402102788
ST3GAL1,0.29991247694235296,0.6230126711543922,0.2055031203448915
SKI,0.17822105486857415,0.7333312418471434,0.13469981251864696
SLAMF1,-0.33261403461742767,0.5895683259699722,0.22946585660416882
SLC1A4,0.11841358693145407,0.871174555338982,0.059894817638472625
SLC2A5,-0.664078361342132,0.14754414939908536,0.8310780069981084
SLC6A1,-0.08825541285913188,0.8867959492028166,0.05217629936774574
SLC6A12,-0.0011002494057471778,0.9973103720964875,0.0011696642437343662
SLC7A1,-0.6435741394528609,0.16211355605312672,0.7901806676134745
SLC9A1,-0.06195276757444228,0.8624877421446951,0.06424706849439629
SLC9A2,-0.06298167365054166,0.8967917489468473,0.047308396179518104
SLC16A1,-0.4577981463676961,0.630829344383194,0.2000881127317179
SLC34A1,0.6721414727302302,0.2495074938379403,0.6029164060181821
SLC18A1,0.48287739056925094,0.2526657874003387,0.5974535604115355
SLC18A2,-0.7182940872963824,0.2381260869286696,0.623193024634705
SLC18A3,-0.29763426675752513,0.6233312572326104,0.2052810946653924
SLC22A1,0.9811833855443346,0.21208685006938924,0.673486258024431
SLC22A2,0.24758055635111315,0.3882361544825168,0.41090402340123516
SLC22A4,-0.6538834887492713,0.05208003173580156,1.2833287597954848
SLC22A5,0.3353009559501143,0.5137021001630824,0.2892886587503108
SLIT1,-0.1469052882296408,0.7956930367064322,0.09925444253362288
SLIT3,-0.4270755442897848,0.5329609990205777,0.2733045705792014
SLN,0.27248795889493643,0.20172086258277266,0.695249183413274
SLPI,0.05457715127912564,0.943904971914307,0.025071726306401185
SNAI2,-0.1506453691104268,0.8398864949396242,0.07577940197640284
SMARCA1,0.19094203635050094,0.7012492220809536,0.15412760751280405
SMARCA4,-0.11165999203955876,0.8769066753022878,0.057046623917753045
SMARCB1,-0.4125809152899821,0.31938790554480656,0.4956815335782551
SMARCC1,0.30514808916333414,0.5949173244859831,0.2255433838753178
SMARCD1,0.3524377977813125,0.5964357198231035,0.22443635506221216
SMARCE1,-0.4451732129007149,0.2302605443788687,0.6377804729195862
SMPD2,-1.0019766775995713,0.103751045089071,0.9840075199254537
SNAP25,0.24582009012086425,0.767815749539709,0.11474298382054564
SNAPC1,0.005275268971115077,0.993315770465551,0.002912669358838015
SNAPC2,-0.3917029265051671,0.6759939714605762,0.1700571770954648
SNAPC4,-0.28653254369353504,0.28907277985287483,0.53899280115624
SNCG,0.6748291781377522,0.12319672828303038,0.9094008255116359
FSCN1,0.7839718257622978,0.007721105505522583,2.112320513061262
SNRPA1,0.27862635353641085,0.6513042242196074,0.18621610507585368
SNRPC,-0.3780051238883293,0.3561830662806241,0.44832673168832304
SNTA1,0.7637719450889068,0.12728088569389218,0.8952368112792018
SNX2,-0.4383766305050861,0.2906719550891208,0.5365968682556851
SOAT1,-0.1899575010053241,0.7531728515814573,0.12310534269262445
SORD,0.22530020593849268,0.7072526919025951,0.1504253908823282
SORL1,-0.0010954420053051806,0.9988615280409627,0.0004947137519430441
SOX11,-0.7724836928933837,0.2508308905026576,0.6006189800074642
SP1,-0.25850232444967036,0.5813869754740065,0.23553470174193702
SP2,-0.4131450853627676,0.3268328980131548,0.48567423516749847
SP3,-0.028667027888684072,0.9742962790404368,0.0113089560720569
SP4,-0.3988734345017981,0.1730895841517594,0.7617290654667035
SP100,0.6590400730543692,0.4379332185299017,0.3585921110374512
UAP1,0.32835387631456114,0.5537891496109334,0.25665555763750375
SPAG4,0.3430224529202235,0.3495536174630158,0.45648619908182786
SPI1,0.4996656751763612,0.39205521941579374,0.4066527600238148
SPINK1,0.49134202685590245,0.5342530725336457,0.2722529714931944
SPN,0.6252436669605521,0.0019126568130336077,2.7183629482039775
SPR,0.6576620896418245,0.18356095938323747,0.7362196811268813
SPTA1,0.12644156362321538,0.8595568791552619,0.06572537960992574
SPTAN1,0.6434945920693982,0.4055753391571145,0.3919284599705496
SQLE,0.21809488137148403,0.7608221032500028,0.11871687885183566
SRI,0.7907622398705155,0.11125276725483246,0.9536891777532596
SRF,-0.600475037861225,0.12619635466189916,0.8989531900450325
SRM,0.4684204712768077,0.5209976987812144,0.2831641949515838
SRPK1,-0.008129623175232225,0.9934510292920097,0.0028535359345653244
SRY,0.6058030678803219,0.18990737193111734,0.721458176248428
TRIM21,-0.3798287041539238,0.486611612937634,0.31281753088700853
SSB,0.17814972883067276,0.7203025576717165,0.14248504311482643
SSBP1,0.5609374889852642,0.31820102759810925,0.49729842217696757
SSRP1,-0.1472213655278492,0.7278442001069714,0.1379615743616442
SSX2,0.14295700973285091,0.7957926142565124,0.099200095853775
STAC,-0.47677231540798937,0.11023540569729892,0.9576788952358828
STAT3,0.3249817935876379,0.3207494500484383,0.4938340795863412
STAT4,-0.9481843050499883,0.09331805541678947,1.030034319712801
STAT6,0.2932496199822787,0.4142124914827899,0.3827768081459836
STC1,-0.3687056551289287,0.5649033611163945,0.24802584124887264
STIM1,0.6190922503534488,0.3545290689073305,0.450348149906936
NEK4,0.18860736791147903,0.6542555236910087,0.1842526020493376
RPS6KB1,0.004673518098155416,0.9806931188557607,0.008466871965652928
STRN,-0.5308956946841145,0.3140745350621598,0.5029672744589075
STXBP1,0.6304200502338018,0.2822645098795579,0.5493437238098833
SUPT6H,0.48006190494420686,0.25715182910623646,0.5898103822201217
SUPV3L1,0.4625651594397134,0.36376002308839833,0.4391850312376203
SURF1,0.2847958529102638,0.5354054951513931,0.27131717573093117
SUV39H1,-0.20711356528718144,0.6988266414620261,0.15563054670656795
SVIL,0.4014862394608625,0.6158144554659746,0.2105501207991372
SYCP1,-0.1426429734325602,0.8535129645083414,0.06878987774588356
SYK,0.322160085512993,0.3220889091003062,0.49202422954064856
SYN2,-0.2155139173884743,0.6732167659364705,0.17184507679748512
SYP,-0.2783293357281237,0.6998333127356748,0.15500538852796103
TAC1,-0.07374374207315082,0.894387848956501,0.048474109689078615
ADAM17,0.07456631037994214,0.9015168415024536,0.045026155682274714
TAF2,-0.3712229611126985,0.4783637128987951,0.3202417719241739
TAF4,0.42053995802986377,0.16492267817406228,0.7827196213193035
TAL1,-0.024019407807242786,0.9381895764931939,0.027709396475872998
TAPBP,0.38601134522278424,0.35567436981244277,0.44894742930416315
TBCC,0.4619334154054676,0.01830925924800916,1.7373292259336786
TBCE,-0.2985007285524527,0.7359898082936371,0.13312819956532806
TCEA2,0.3749318894156624,0.3787767584610178,0.4216166769279926
TCEA3,0.31389799689741543,0.6938260321310751,0.15874940959804665
ELOA,0.5028306305235978,0.16871026905420228,0.7728584819761247
TCF3,-0.09434255993364409,0.7957320800305008,0.09923313295389687
TFAM,-0.3893474537072773,0.6728243331284133,0.1720983103844897
NFE2L1,0.802977752457745,0.0015102551659683147,2.8209496700512715
TCF12,-0.41025164709336437,0.2163464447365606,0.6648502372527775
TCF21,-0.7162903119727282,0.14957106851019872,0.8251524038077683
TDG,-0.28466791289765536,0.5230944190921057,0.2814199134469131
TDGF1,0.2539535840721839,0.7158478667654073,0.14517926490516458
TEAD3,0.16054525540672224,0.680227869059169,0.16734557891510096
TMBIM6,0.4060359052028689,0.5424807812512801,0.26561564318333336
TERF1,-0.8660187474633032,0.1975691898729595,0.7042807809601169
TFAP2A,-0.436999421157374,0.5554292274479379,0.25537127081301414
TFAP2B,-0.5439299213941798,0.510191115272036,0.29226710868570643
TFF3,1.458172896727034,0.011289740094375306,1.947316056027015
TFRC,-0.2160799430458848,0.8210523046525356,0.08562917552560663
TG,0.24973387250607723,0.755106492304776,0.12199179570996735
