,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,pair,nlp
525,B,Treg,CD48,CD2,1.9327111,0.0,3.6252108,2.0416289702852546,1.9564527648157213,0.040486578,0.95146066,0.0028112706847853,0.0022785211375169,CD48 → CD2,2.551097336089858
538,Macrophage,Treg,HLA-DPB1,CD4,2.0142827,0.0,2.651738,1.9369244362721592,2.493362341809577,0.0355007,0.9437086,0.0044300937371544,0.0024110615355659,HLA-DPB1 → CD4,2.3535870843642415
563,Macrophage,Treg,MRC1,PTPRC,1.9043984,0.0,3.0635974,1.978571475443992,2.245077656030494,0.09118386,0.9474228,0.0024295164337526,0.00263593246788,MRC1 → PTPRC,2.6144801589331697
611,Mono,Treg,HLA-DRA,CD4,1.8991077,0.0,2.460846,1.4729725236012623,1.4131211248750726,0.024919787,0.941691,0.0298979706030199,0.0030807913787567,HLA-DRA → CD4,1.524358289462241
662,Mono,Treg,VCAN,ITGA4,1.8530436,0.0,2.355261,1.7968495439545102,2.2116992069219803,0.08283727,0.9404753,0.0037376742238966,0.0035598444608585,VCAN → ITGA4,2.427398554463257
673,Treg,Treg,CD48,CD2,1.8276192,0.0,3.1492248,1.9004828392872235,1.849562656725006,0.035170738,0.94810516,0.0051550185906803,0.0037245862589849,CD48 → CD2,2.287769764169929
696,Mono,Treg,CD48,CD2,1.8187385,0.0,3.1090016,1.8885544874957851,1.860830762818871,0.034721524,0.947788,0.0054036750595896,0.0039785842567496,CD48 → CD2,2.2673107743928074
742,B,Treg,CD22,PTPRC,1.8007121,0.0,2.5130594,2.6908946224947323,1.8264509134633216,0.07436552,0.94226474,0.0040363951347546,0.0044367355038153,CD22 → PTPRC,2.3940063259723416
758,Epithelial,Treg,SLPI,CD4,1.7975945,0.0,2.2925973,1.7654665829340923,3.0541123369097893,0.122568145,0.939716,0.0006154185415909,0.0045613855697092,SLPI → CD4,3.2108294232830557
768,B,Treg,HLA-DPB1,CD4,1.7924488,0.0,2.2840686,1.7271690124355574,1.5758478366532054,0.03057845,0.9396103,0.0110393009239434,0.0046877350854637,HLA-DPB1 → CD4,1.9570584279190182
785,pDC,Treg,HLA-DPA1,CD4,1.7888691,0.0,2.2781355,1.6552121869594345,1.4389798436192456,0.028663622,0.93953645,0.0181337991219102,0.0048415965078187,HLA-DPA1 → CD4,1.741511199498838
821,SmoothMuscle,Treg,CD59,CD2,1.7734165,0.0,2.903728,1.5438144205510942,1.5270085540348144,0.048187707,0.9460718,0.0221919207760772,0.0052458939651551,CD59 → CD2,1.653805106675167
850,B,Treg,HLA-DPA1,CD4,1.7609177,0.0,2.2318087,1.6305935494933497,1.4125703343115048,0.028080733,0.93895024,0.0203805470919181,0.0055549618380068,HLA-DPA1 → CD4,1.6907841620463704
910,B,Treg,HLA-DRB1,CD4,1.7358766,0.0,2.1903052,1.5016171199881918,1.3311561021761191,0.02672987,0.93841004,0.0282301372680005,0.0062283661552536,HLA-DRB1 → CD4,1.549287010107058
1135,NK,Treg,CD48,CD2,1.634284,0.0,2.2735646,1.640817746636568,1.6907380799069889,0.025391312,0.9394794,0.0150738054387708,0.0095012487869724,CD48 → CD2,1.821777094571297
1139,pDC,Treg,HLA-DRB1,CD4,1.6334345,0.0,2.0205173,1.4178154564218906,1.2023627317847212,0.024657823,0.93603665,0.0486514260233953,0.0095974115359727,HLA-DRB1 → CD4,1.3129044255905895
1199,pDC,Treg,HLA-DPB1,CD4,1.6148713,0.0,1.9897504,1.5592614428510192,1.3294828646874346,0.026638202,0.9355758,0.028394875075945,0.0104590005336607,HLA-DPB1 → CD4,1.5467600376671602
1392,Mono,Treg,HLA-DRB1,CD4,1.5553508,0.0,1.8911006,1.353939870290235,1.26901106933967,0.02307846,0.93402624,0.046464274179934,0.0137580566984334,HLA-DRB1 → CD4,1.3328808425904453
1506,Macrophage,Treg,CD48,CD2,1.5189326,0.0,1.7511107,1.4858918875042646,1.4221227760189898,0.019556513,0.93161666,0.0277712944258526,0.0158398755775289,CD48 → CD2,1.556403877221166
1654,Mast,Treg,CD48,CD2,1.4798015,0.0,1.5738773,1.4333353609484174,1.4055013044596998,0.01757716,0.9281384,0.0343736593714292,0.0188083145103226,CD48 → CD2,1.46377423102188
1768,pDC,Treg,CD48,CD2,1.456219,0.0,1.4670665,1.401662068833838,1.262148156660022,0.01638429,0.9257592,0.0393735808738363,0.0211296162662499,CD48 → CD2,1.4047950860218668
1977,Mast,Treg,CD22,PTPRC,1.5612144,0.0,1.241412,1.703593322818045,1.3871138750455398,0.0367354,0.9198118,0.0229311367150248,0.0253254799017123,CD22 → PTPRC,1.6395744164071402
