x,y,burden,stage
-4.0335426,9.596995,0.01906807203873346,2_malignant
11.880827,5.906013,0.00669367825928815,0_normal
14.333293,7.550949,0.0015928007323145815,0_normal
10.083593,4.548255,0.01050678289106917,0_normal
-4.5658216,11.904526,0.03409146328485364,2_malignant
-3.8503225,7.1482587,0.020246100777495696,2_malignant
11.240248,8.790348,0.010351705720368504,0_normal
-3.3811069,4.827871,0.013736349453755422,2_malignant
8.55371,8.374371,0.0018601391773122907,0_normal
-3.5234137,13.218256,0.018109766654344803,2_malignant
1.8590103,-0.9226945,0.021028877927789454,2_malignant
12.238671,8.980458,0.008270470586414067,0_normal
2.968248,-1.5561928,0.016518671734208044,2_malignant
11.82931,7.296052,0.007665489868457847,1_benign_lesion
10.650179,2.8078742,0.01163671081588795,0_normal
7.8834996,12.800873,0.020327020706732115,0_normal
2.708495,-1.8192228,0.0163734053643307,2_malignant
-2.001607,9.201089,0.025447606777255154,2_malignant
-6.345423,9.522667,0.020618303905663753,2_malignant
-4.1548457,9.781636,0.028952870842370297,2_malignant
12.065763,6.4775224,0.006037160597115624,0_normal
1.6102176,-1.0639243,0.01864285222469664,2_malignant
11.664186,5.058313,0.0028502452743441324,0_normal
2.0293884,-2.9985993,0.024761942894401263,2_malignant
-3.88006,7.906928,0.01787720941344948,2_malignant
10.079471,12.343418,0.013296211431644172,2_malignant
8.784569,12.915003,0.005120425942009901,0_normal
10.874955,2.5464058,0.017892944073690235,0_normal
8.955965,6.154716,0.0036585672455382106,0_normal
9.2372675,3.3912299,0.002273090507535061,0_normal
-3.8886938,9.792045,0.019319164118160422,2_malignant
-4.6900635,12.360545,0.015813520920971075,2_malignant
-3.6861181,8.46314,0.021381022619117944,2_malignant
-2.953956,1.2563967,0.017045046461147708,2_malignant
