names,scores,logfoldchanges,pvals,pvals_adj
DGCR2,41.51542,1.5609624,0.0,0.0
RABEP2,19.747519,1.5597413,8.425854609032636e-87,2.5201609095992475e-86
SOCS5,21.277485,1.559709,1.8352560978492454e-100,5.683808344990899e-100
THOC3,45.317295,1.5588984,0.0,0.0
AP1G1,83.77834,1.5588373,0.0,0.0
CHM,44.934784,1.5581948,0.0,0.0
SLF1,25.13286,1.5573233,2.1759067228595684e-139,7.285919665046271e-139
URI1,107.556,1.5566171,0.0,0.0
PPP1R13L,27.583765,1.5557641,1.742535416721326e-167,6.119285391340321e-167
PPP2R5A,62.893555,1.555684,0.0,0.0
CIAO2B,11.3773985,1.5552258,5.419199794564566e-30,1.3265000823399507e-29
GMCL1,45.394722,1.5549638,0.0,0.0
CLHC1,18.153652,1.5544916,1.201408862947458e-73,3.4703710968246537e-73
NUDCD3,49.955406,1.5531869,0.0,0.0
CPPED1,39.848286,1.5527657,0.0,0.0
LMBRD2,19.497551,1.5527422,1.1516665936843742e-84,3.4248453687310748e-84
TTC39B,21.583097,1.5520383,2.5892384959403994e-103,8.07991258428828e-103
PIK3C3,38.749218,1.5519716,0.0,0.0
LEFTY1,48.261845,1.5512594,0.0,0.0
ATF1,38.265163,1.5508666,0.0,0.0
ARFGAP1,26.349134,1.5489964,5.251064611023043e-153,1.8020213592505575e-152
POLR3A,22.473072,1.5486631,7.613854459011131e-112,2.4196849136310665e-111
MECP2,50.704098,1.5481561,0.0,0.0
GOLGA8B,32.17759,1.5480064,3.6335169019781783e-227,1.3830594755789585e-226
IQCD,33.33682,1.5477546,1.1309189764141943e-243,4.39537212075693e-243
RNF24,32.12822,1.5475641,1.779736875336624e-226,6.770015448755701e-226
BCL9,30.347572,1.5459912,2.7048389534866596e-202,9.991730584996379e-202
MLH3,41.48113,1.5459709,0.0,0.0
SERGEF,22.660639,1.5453712,1.0958101870452371e-113,3.496410029545743e-113
S100PBP,33.349297,1.544688,7.458128378409464e-244,2.900165012041499e-243
IL6R,35.50803,1.5438358,3.6951760440100426e-276,1.4825889752665293e-275
KLHDC4,27.705528,1.5429065,5.989625375384577e-169,2.1076458214383525e-168
UBP1,34.151062,1.5423533,1.28941050037461e-255,5.0822600208305165e-255
PRKD2,28.165743,1.5423473,1.5374517241219533e-174,5.463411481747447e-174
GPBP1L1,77.35678,1.5419636,0.0,0.0
NIPAL1,13.25653,1.5419166,4.135963942481277e-40,1.0638011952048785e-39
HIP1,43.580414,1.5410337,0.0,0.0
IWS1,74.44106,1.540362,0.0,0.0
DDX11,14.642862,1.5399778,1.4963382382539045e-48,3.984388473907827e-48
CARD8,20.788385,1.5390524,5.513528750223529e-96,1.6907009760550447e-95
ZNF440,28.262325,1.5384903,1.0043039171955569e-175,3.575728800914492e-175
CEP85L,30.434181,1.5384113,1.9398966431259638e-203,7.176791264283352e-203
ZRANB1,47.248062,1.5361859,0.0,0.0
SPICE1,30.040356,1.5361756,2.9181050893095197e-198,1.0724535567804619e-197
ARVCF,8.200203,1.5361332,2.3998087391397617e-16,5.336321691776895e-16
ATP6V1H,83.33424,1.5361246,0.0,0.0
CASC1,30.77396,1.5360742,5.846828721098796e-208,2.1772616914760084e-207
TRANK1,12.131181,1.5352294,7.220087690332932e-34,1.8059392638957437e-33
CDCP1,72.783714,1.5346123,0.0,0.0
KAT14,10.914406,1.5341012,9.837032436708236e-28,2.375593456460535e-27
BCAS1,9.177761,1.5339566,4.401466336819519e-20,1.0095169003982943e-19
TDRD7,13.999966,1.5330677,1.559469858607476e-44,4.082910269055658e-44
STOX1,24.732273,1.5320678,4.810372498335169e-135,1.5964295333315076e-134
FBXO9,64.106865,1.5320448,0.0,0.0
ZNF567,20.78342,1.5308777,6.1143240989227285e-96,1.8745430922050265e-95
ZBED4,21.279615,1.5300635,1.7537748733518189e-100,5.432599602441961e-100
CDH3,7.9907365,1.5287966,1.3413497313785118e-15,2.9606142138879927e-15
RBM41,36.536106,1.5283425,2.964021072073469e-292,1.2097794368808505e-291
CLOCK,61.571552,1.52769,0.0,0.0
DCAF4,9.655896,1.5266855,4.640825183676696e-22,1.081552897750555e-21
FNIP2,48.13394,1.5266082,0.0,0.0
HIRA,13.872611,1.5262214,9.28346564485656e-44,2.422808135153462e-43
SMARCD3,17.431107,1.5257807,4.790999073662067e-68,1.3629884647903743e-67
ATM,60.075546,1.5257211,0.0,0.0
ZFYVE27,23.232628,1.5255561,2.1317235219666703e-119,6.865502846949043e-119
ATL1,7.263264,1.5254531,3.778584835854734e-13,8.148806704359184e-13
RECQL5,18.209797,1.5245569,4.3154993864940286e-74,1.2481556991495463e-73
RASSF6,23.604462,1.524412,3.468175978900419e-123,1.1255658496200612e-122
CKAP5,50.05678,1.5240214,0.0,0.0
ERICH6-AS1,11.266261,1.5236889,1.9257550741228475e-29,4.700962828705273e-29
SNRK,30.377739,1.5229192,1.0812341152515776e-202,3.996100553614404e-202
HOXD11,10.217078,1.5228523,1.6627717432962135e-24,3.933481501204613e-24
PDE4DIP,49.529053,1.5227202,0.0,0.0
ANGPT2,16.235811,1.5223836,2.8149763329336224e-59,7.79284251537732e-59
FGFR4,8.540798,1.5222057,1.3329831592831573e-17,2.9986282237854525e-17
ZNF595,14.925183,1.5220227,2.2601454544617405e-50,6.05810068714307e-50
TRAFD1,14.526729,1.5215713,8.204628967549313e-48,2.1797813172445452e-47
ATXN10,128.96715,1.5201958,0.0,0.0
ZNF33B,53.641964,1.519871,0.0,0.0
SEC23IP,38.16976,1.5195124,0.0,0.0
GPC4,13.693548,1.5194864,1.1095629103118994e-42,2.886310142839182e-42
RNF34,32.40989,1.5191635,1.9916190640295725e-230,7.612284618275081e-230
AACS,27.62685,1.5186515,5.296276345137291e-168,1.8616717113665542e-167
RHBDL2,11.62891,1.5182761,2.9382411126261763e-31,7.25227850684144e-31
ZBTB40,16.789467,1.5178849,2.9144888024218696e-63,8.159352894910676e-63
YY1AP1,38.724236,1.5172212,0.0,0.0
INCENP,7.8035555,1.5162617,6.018687964732901e-15,1.322114525020922e-14
STX2,33.797443,1.5158622,2.150366460321769e-250,8.429619218545312e-250
AP5Z1,16.333986,1.5153655,5.65654659451681e-60,1.5684302435312807e-59
DNAI1,19.01827,1.5150361,1.2039057402849979e-80,3.542028146918002e-80
KAT6B,78.58898,1.514243,0.0,0.0
DENND6B,24.234653,1.512699,9.598426291286046e-130,3.154256937254362e-129
DEUP1,7.977485,1.5117351,1.493445435537492e-15,3.2945946295698595e-15
SEC24D,50.97416,1.5111414,0.0,0.0
ZNF107,20.075855,1.5099506,1.2000075467541543e-89,3.6188953079708105e-89
ERCC6L2,32.68905,1.5096741,2.2348411205393758e-234,8.576329862186845e-234
PARVB,21.148417,1.5092441,2.853650012703046e-99,8.814674150117254e-99
SUCLA2,84.75902,1.5073061,0.0,0.0
METAP1D,8.816236,1.5072094,1.1837279800530096e-18,2.6859910289661423e-18
EDRF1,34.542175,1.5071328,1.8681339602765033e-261,7.392923592463837e-261
NUP93,25.81704,1.5071192,5.708339358793272e-147,1.9409011084072e-146
WSB1,145.60115,1.5069607,0.0,0.0
KIAA1841,19.45287,1.5063611,2.755720606992037e-84,8.187587234578413e-84
ZNF783,11.869031,1.5062486,1.7144193753994926e-32,4.2575733038051486e-32
THOC1,41.283836,1.5062311,0.0,0.0
ZC3H7A,51.762917,1.5048604,0.0,0.0
FKTN,17.400227,1.5039835,8.217804569113174e-68,2.336302771983364e-67
GGA2,44.754833,1.5036415,0.0,0.0
RAB27A,43.426846,1.5029811,0.0,0.0
GLUD1,51.232384,1.5029757,0.0,0.0
