dataset_id,tissue,assay,susp,disease,n_ctrl,n_case,cells
6cf3634d-e911-44ad-bf52-c747a9af3c01,colon,10x 3' v3,cell,Crohn disease,13,3,10185
7be23e52-e357-45d6-861f-31166913104e,small intestine,10x 3' v2,cell,Crohn disease,27,9,9856
278eac3f-a5a4-4d0a-9d83-0ca7efc67e16,small intestine,10x 3' v2,cell,Crohn disease,37,17,7520
ef7bb7f0-234d-459f-b613-b37cc7a4c70f,small intestine,10x 3' v2,cell,Crohn disease,22,17,6925
37a17b78-4864-4a42-b67b-31c00962795a,brain,10x 3' v3,nucleus,Lewy body dementia,261,11,1102575
5829c7ba-697f-418e-8b98-d605b192dc48,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,112070
251b1a7e-d050-4486-8d50-4c2619eb0f46,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,57074
f8d8b443-bca6-4c3c-9042-669dfb7f8030,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,23362
07760522-707a-4a1c-8891-dbd1226d6b27,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,21550
2856d06c-0ff9-4e01-bfc9-202b74d0b60f,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,19333
f5be4b96-f5a3-4c3d-84ac-6f69daf744d5,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,9769
4dd1cd23-fc4d-4fd1-9709-602540f3ca6f,brain,10x 3' v3,nucleus,Lewy body dementia,8,4,8981
d3cb449b-c2b1-4b50-a7f1-21203535fe61,brain,10x 3' v3,nucleus,Parkinson disease,24,73,2096155
37a17b78-4864-4a42-b67b-31c00962795a,brain,10x 3' v3,nucleus,Parkinson disease,261,7,1073734
5829c7ba-697f-418e-8b98-d605b192dc48,brain,10x 3' v3,nucleus,Parkinson disease,8,6,143582
251b1a7e-d050-4486-8d50-4c2619eb0f46,brain,10x 3' v3,nucleus,Parkinson disease,8,6,81265
07760522-707a-4a1c-8891-dbd1226d6b27,brain,10x 3' v3,nucleus,Parkinson disease,8,6,26535
f8d8b443-bca6-4c3c-9042-669dfb7f8030,brain,10x 3' v3,nucleus,Parkinson disease,8,6,26434
2856d06c-0ff9-4e01-bfc9-202b74d0b60f,brain,10x 3' v3,nucleus,Parkinson disease,8,6,18399
f5be4b96-f5a3-4c3d-84ac-6f69daf744d5,brain,10x 3' v3,nucleus,Parkinson disease,8,6,13226
4dd1cd23-fc4d-4fd1-9709-602540f3ca6f,brain,10x 3' v3,nucleus,Parkinson disease,8,6,10576
ac0c6561-7a48-4185-af6f-af799f699172,brain,10x 3' v2,nucleus,Pick disease,10,8,99641
ac0c6561-7a48-4185-af6f-af799f699172,brain,10x 3' v3,nucleus,Pick disease,8,9,97196
3966ba97-beb8-4d0b-9954-d3775cd2cd61,placenta,10x 3' v3,cell,Plasmodium malariae malaria,20,8,102643
df1edb87-e512-43ae-b5f4-cb179cfc2bb4,exocrine gland,10x 3' v3,cell,Sjogren syndrome,13,8,62396
a12ccb9b-4fbe-457d-8590-ac78053259ef,kidney,10x 3' v3,nucleus,acute kidney failure,25,16,176993
0b75c598-0893-4216-afe8-5414cab7739d,kidney,10x 3' v3,nucleus,acute kidney failure,13,10,137909
07854d9c-5375-4a9b-ac34-fa919d3c3686,kidney,10x 3' v3,nucleus,acute kidney failure,13,6,118334
dea717d4-7bc0-4e46-950f-fd7e1cc8df7d,kidney,10x 3' v3,cell,acute kidney failure,26,14,94547
32b9bdce-2481-4c85-ba1b-6ad5fcea844c,kidney,10x 3' v3,cell,acute kidney failure,18,12,55488
0b75c598-0893-4216-afe8-5414cab7739d,kidney,10x 3' v3,cell,acute kidney failure,18,12,54538
98f5d518-1e60-4307-b732-ab045cd3cbc2,brain,10x 3' v3,nucleus,amyotrophic lateral sclerosis,5,10,124188
0bc7235a-ae5a-479d-a487-510435377e55,brain,10x 3' v3,nucleus,amyotrophic lateral sclerosis,5,10,83480
98f5d518-1e60-4307-b732-ab045cd3cbc2,brain,10x 3' v3,nucleus,amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,5,6,66900
0bc7235a-ae5a-479d-a487-510435377e55,brain,10x 3' v3,nucleus,amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,5,6,56597
f14bc322-1322-4184-8d16-409557525ea5,lung,10x 5' v2,cell,anthracosis,42,3,116073
65badd7a-9262-4fd1-9ce2-eb5dc0ca8039,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,305105
f7995301-7551-4e1d-8396-ffe3c9497ace,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,123554
1252c5fb-945f-42d6-b1a8-8a3bd864384b,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,64703
ed2b673b-0279-454a-998c-3eec361edf54,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,45075
1062c0f2-2a44-4cf9-a7c8-b5ed58b4728d,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,28174
9434b020-de42-43eb-bcc4-542b2be69015,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,15654
0fdb6122-4600-40f0-a703-2da47cc7080d,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,6100
83b5e943-a1d5-4164-b3f2-f7a37f01b524,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,12,8,2680
bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7,heart,10x 3' v3,nucleus,arrhythmogenic right ventricular cardiomyopathy,10,7,1220
4442d412-91cb-4261-acca-8adf5fa04c11,brain,10x 3' v3,nucleus,atherosclerosis,259,23,1293813
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,atherosclerosis,146,24,864497
87a06a2a-16c6-42f7-af1b-529fad431051,heart,10x 3' v3,cell,atrial fibrillation || mitral valve insufficiency,5,7,41279
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5,skin of body,10x 3' v3,cell,basal cell carcinoma,14,8,131627
14363b6e-3428-45b0-8704-10fd5d6316df,skin of body,10x 3' v3,cell,basal cell carcinoma,14,8,3245
574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,51445
dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,34063
8b2e5453-faf7-46ea-9073-aea69b283cb7,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,28847
88c483bf-477d-4be5-90d3-4fb101dd601f,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,25186
d3a83885-5198-4b04-8314-b753b66ef9a8,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,8823
5ba85070-a41c-4184-9c18-cf34c3fd0f62,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,4602
