state,gene,n_cells,mean_expr,frac_pos,gene_state
Treg,GNLY,2229,0.8862975835800171,0.41947061462539253,NK
Treg,KLRD1,2229,0.039186034351587296,0.02557200538358008,NK
Treg,NCAM1,2229,0.02057579532265663,0.01704800358905339,NK
Treg,MS4A1,2229,0.011290539987385273,0.008524001794526694,B
Treg,CD79A,2229,0.08287815004587173,0.06056527590847914,B
Treg,CD19,2229,0.0015113443369045854,0.001794526693584567,B
Treg,MZB1,2229,0.1312001347541809,0.11126065500224316,Plasma
Treg,JCHAIN,2229,0.010248604230582714,0.008075370121130552,Plasma
Treg,XBP1,2229,0.24893365800380707,0.18842530282637954,Plasma
Treg,CD68,2229,0.018370894715189934,0.01525347689546882,Macrophage
Treg,CD163,2229,0.009089904837310314,0.008075370121130552,Macrophage
Treg,MRC1,2229,0.056315407156944275,0.03768506056527591,Macrophage
Treg,C1QA,2229,0.025751851499080658,0.020188425302826378,Macrophage
Treg,LYZ,2229,0.08889694511890411,0.07133243606998654,Mono
Treg,S100A8,2229,0.07420457899570465,0.05293853746074473,Mono
Treg,FCN1,2229,0.011554170399904251,0.00986989681471512,Mono
Treg,VCAN,2229,0.052240289747714996,0.039030955585464336,Mono
Treg,LILRA4,2229,0.0,0.0,pDC
Treg,CLEC4C,2229,0.0,0.0,pDC
Treg,IRF7,2229,0.1909472942352295,0.13593539703903096,pDC
Treg,TPSAB1,2229,0.0006650693831034005,0.00044863167339614175,Mast
Treg,CPA3,2229,0.00066708296071738,0.00044863167339614175,Mast
Treg,KIT,2229,0.0009218121413141489,0.0008972633467922835,Mast
NK,CD3D,41706,0.375724196434021,0.19781326427852108,CD4T
NK,CD3E,41706,0.830527126789093,0.4793315110535654,CD4T
NK,IL7R,41706,0.2576207220554352,0.12700810434949408,CD4T
NK,CCR7,41706,0.09778016060590744,0.05855272622644224,CD4T
NK,CD8A,41706,0.21770787239074707,0.13508847647820457,CD8T
NK,CD8B,41706,0.07075271010398865,0.04347096341054045,CD8T
NK,GZMK,41706,0.6492667198181152,0.3371697117920683,CD8T
NK,FOXP3,41706,0.00148642563726753,0.001342732460557234,Treg
NK,IL2RA,41706,0.03962688148021698,0.03186591857286721,Treg
NK,CTLA4,41706,0.010584683157503605,0.007792643744305376,Treg
