source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Mast,Stromal_Fib,CD99,PILRB,0.46429962,1.0,0.09764051,-0.26719450947374634,-0.29753970059343215,0.0029850402,0.7628622,1.0,0.4528392772335458
NK,NK,CD38,PECAM1,0.39255452,0.0,0.10762536,0.6894034482133196,0.339132008367217,0.0075028143,0.7715559,0.4974827698776975,0.4528392772335458
SmoothMuscle,Macrophage,YBX1,NOTCH1,1.0768907,0.0,0.30068004,0.20296050214588784,0.14779194478450366,0.006641642,0.8495164,0.662069962544714,0.4528426259649502
Mast,B,TNFSF10,CCR6,0.725379,0.0,0.3745507,1.133267785511337,0.8649878391260624,0.03889838,0.86302596,0.05851709003452131,0.4528426259649502
pDC,CD4T,HLA-F,CD8A,0.41097,0.0,0.12420377,0.18705309461408665,0.09837982081777447,0.0056474824,0.78393584,0.8945221725816641,0.45294619765743777
pDC,Mast,TGFB1,ACVR1_TGFBR2,0.45680964,0.0,0.09763368,0.36571355980222336,0.24640689291588025,0.01271913,0.7628559,0.15014742179166066,0.4529729684202508
pDC,Mast,TGFB1,ACVR1_TGFBR1_TGFBR2,0.45680964,0.0,0.09763368,0.36571355980222336,0.24640689291588025,0.01271913,0.7628559,0.15014742179166066,0.4529729684202508
B,NK,ADAM17,ITGB1,0.73875684,1.0,0.30059007,-0.06770563151032226,-0.07183579915476085,0.006995083,0.84949726,1.0,0.45298234696785644
Mast,Endothelial,ARF1,INSR,0.7252916,0.0,0.52234256,0.2619418211110746,0.44766053550145096,0.019322021,0.88152504,0.13191780610609485,0.45298234696785644
Stromal_Fib,Epithelial,WNT5A,LRP5,0.39252973,0.0,0.10969509,0.3946706341779084,0.6491119581952176,0.08790508,0.7732304,0.05851709003452131,0.45299974023787576
CD4T,Treg,TNFSF14,TNFRSF14,0.3925707,0.0,0.12420572,0.5777545768364917,0.47640941077667043,0.017751684,0.7839371,0.05851709003452131,0.45299974023787576
Stromal_Fib,Epithelial,HMGB1,SDC1,1.0823352,0.0,0.30057308,0.36610113928190835,0.19467575935989376,0.01667039,0.8494937,0.1001263071840743,0.4530522135152753
Plasma,CD8T,PKM,CD44,0.7252551,0.51,0.33931625,0.008267837229170072,-0.1200168729229164,0.0024817856,0.85708123,1.0,0.4530522135152753
SmoothMuscle,Macrophage,RARRES2,CCRL2,0.625717,0.0,0.1242087,0.4680614658590841,0.21032731572909086,0.066664904,0.7839391,0.08724601408240867,0.45305313491007815
Plasma,Epithelial,WNT5B,FZD1_LRP6,0.12409736,0.0,0.011894975,0.0954828868926276,0.011586380224408145,0.049223687,0.5289296,0.4514985581898147,0.45310621339842205
Plasma,Epithelial,WNT5B,FZD3_LRP6,0.12409736,0.0,0.011894975,0.0954828868926276,0.011586380224408145,0.049223687,0.5289296,0.4514985581898147,0.45310621339842205
Plasma,Epithelial,WNT5B,FZD6_LRP6,0.12409736,0.0,0.011894975,0.0954828868926276,0.011586380224408145,0.049223687,0.5289296,0.4514985581898147,0.45310621339842205
Plasma,Epithelial,WNT5B,FZD5_LRP6,0.12409736,0.0,0.011894975,0.0954828868926276,0.011586380224408145,0.049223687,0.5289296,0.4514985581898147,0.45310621339842205
Endothelial,Epithelial,GNAS,ADCY7,1.1184092,0.0,0.12421024,0.10939699055544891,0.08504783196982535,0.0017843206,0.7839402,1.0,0.4531066859173573
Treg,pDC,FAM3C,LAMP1,0.39249563,1.0,0.09959594,-0.2603182153171441,-0.2986053965449942,0.0028954195,0.7646511,1.0,0.4531066859173573
NK,Macrophage,FBLN1,ITGB1,0.6128365,1.0,0.12421351,-0.4697844579640944,-1.3193566172420623,0.0024663906,0.7839424,1.0,0.4531602411442995
Epithelial,Mono,TGFB1,ITGB1,0.5379277,1.0,0.097625956,-0.526564173776128,-0.8016275210412989,0.0008102418,0.7628487,1.0,0.4531602411442995
Epithelial,Endothelial,ANXA1,DYSF,0.7568958,0.0,0.30044836,0.6067305001004467,0.4222498921624268,0.034265988,0.84946716,0.05851709003452131,0.4531919587003862
Mast,Endothelial,CALM3,INSR,0.7251116,0.0,0.52210337,0.4527199524378084,0.6326252226166496,0.02463425,0.88150114,0.05851709003452131,0.4531919587003862
NK,Epithelial,CALR,LRP1,0.6773065,1.0,0.097624116,-0.3209318499298531,-0.5002142684624409,0.0016830182,0.762847,1.0,0.45321380059107086
NK,NK,HSPA8,ADRB2,0.81142247,0.0,0.3004129,0.4369021646757835,0.33665025537630067,0.01058023,0.8494596,0.23901121257749053,0.45326183733741454
Plasma,Plasma,NUCB2,ERAP1,0.49965724,0.0,0.12422449,0.24544892703030544,0.19976174719887174,0.007460107,0.78395,0.5282364826619367,0.45326721208235277
Plasma,NK,COL4A4,ITGA1_ITGB1,0.5145701,0.0,0.0976192,0.8226903431168578,0.82683439054968,0.07743269,0.7628424,0.03415504514296791,0.45326721208235277
Stromal_Fib,CD8T,VCAM1,ITGA4_ITGB1,0.39247358,1.0,0.10822681,-0.37657194961784957,-0.4142783784879366,0.012299779,0.7720467,1.0,0.45326721208235277
NK,NK,MIF,CD44_CD74,0.72510666,1.0,0.5255582,-0.24150147626605378,-0.8856269936627027,0.0021394657,0.8818451,1.0,0.4532968030008275
NK,NK,MIF,CD74_CXCR4,0.72510666,1.0,0.5255582,-0.24150147626605378,-0.8856269936627027,0.0021394657,0.8818451,1.0,0.4532968030008275
pDC,Mono,VEGFB,ADRB2,0.69628036,0.0,0.09761808,0.9169379582538445,0.6640531377497455,0.010024341,0.7628414,0.27263972423470006,0.45332077995729236
pDC,pDC,ADA,DPP4,0.39247054,0.0,0.11664059,1.2958029234078337,0.5570628204083111,0.06595557,0.77856755,0.05851709003452131,0.45332077995729236
Endothelial,Macrophage,APP,TSPAN15,0.83967936,0.0,0.12422459,0.5262511268630982,0.5643818140859994,0.027780805,0.78395,0.05851709003452131,0.45332077995729236
Macrophage,B,CD14,TLR6,0.96445036,0.0,0.3004008,1.4298579721225582,1.6311426804552245,0.0741221,0.849457,0.006054712317744788,0.4533317200036491
CD4T,Plasma,GNAS,ADCY7,0.8142914,1.0,0.09760075,-0.3088512714864011,-0.3057393272911635,0.0014020666,0.76282537,1.0,0.4533743520525596
Treg,Treg,LTB,TNFRSF1A,1.3271356,0.0,0.30031466,1.041326217053471,1.259165646084328,0.0052770157,0.84943867,0.1581001308272515,0.45340160669875806
Epithelial,B,AFDN,EPHB6,0.49587947,0.0,0.097586006,0.5840940393703294,0.529352319117855,0.03478342,0.7628117,0.05851709003452131,0.4534279283683206
Mono,Epithelial,BST1,CAV1,0.39914495,1.0,0.12425372,0.6430198473513209,-0.33951756012261114,0.01721295,0.7839698,1.0,0.4534279283683206
NK,Macrophage,MIF,CD74_CXCR4,0.7250972,0.0,0.52554476,0.09241231011084523,0.0503295735411432,0.004594407,0.8818438,1.0,0.4534714974224097
Treg,Stromal_Fib,LRPAP1,VLDLR,0.40315014,1.0,0.12425715,-0.04050445263867811,-0.09740140039787687,0.025407268,0.7839722,1.0,0.45348135668133027
CD8T,Stromal_Fib,PTDSS1,SCARB1,0.110389635,0.0,0.0118960785,0.02050337546577763,0.04376035308940636,0.0063789873,0.52894115,0.7323422856566771,0.45352914071851425
B,CD8T,COL1A2,ITGA1_ITGB1,0.3923326,1.0,0.10805584,-0.8393586476003396,-1.9329830405994577,0.0012050217,0.77190757,1.0,0.4535349414265866
pDC,Endothelial,ADAM17,ITGA5,0.39921835,0.0,0.12428152,0.49153692937713694,0.40627668702314657,0.022643967,0.78398883,0.05851709003452131,0.4535349414265866
pDC,Plasma,GAS6,MERTK,0.6210813,0.0,0.09757599,0.6238153964796258,0.46392821977077614,0.022443205,0.7628024,0.05851709003452131,0.4535349414265866
Epithelial,B,APP,NCSTN,0.52541995,0.65,0.09755996,-0.07315691506507457,-0.11221500893519412,0.0048701805,0.7627875,1.0,0.45358853039283487
Endothelial,Endothelial,SPP1,ITGA5_ITGB1,0.3923124,0.0,0.11618013,0.4836452203151327,-0.1409911637492824,0.023363424,0.7782265,0.4974827698776975,0.45358853039283487
Endothelial,CD8T,ICAM2,ITGAL_ITGB2,0.72507066,0.0,0.5221735,1.3430184715993811,1.1582297885410577,0.048242956,0.8815081,0.03366097641116011,0.453611290954014
